abs_x=947.5, abs_y=1572.0, text='173H' (conf=0.32)
abs_x=770.5, abs_y=1570.0, text='LL:z' (conf=0.15)
abs_x=2275.5, abs_y=1565.0, text='So' (conf=0.97)
abs_x=1255.5, abs_y=1577.0, text='2.0' (conf=0.97)
abs_x=1877.5, abs_y=1590.0, text='4.36' (conf=0.74)
abs_x=1389.0, abs_y=1586.0, text='8' (conf=1.00)
abs_x=2522.0, abs_y=1604.5, text='142' (conf=0.90)
abs_x=204.0, abs_y=1639.5, text='3' (conf=0.05)
abs_x=2367.0, abs_y=1599.5, text='5o' (conf=0.96)
abs_x=2084.5, abs_y=1605.0, text='L&6' (conf=0.57)
abs_x=385.5, abs_y=1614.5, text='222' (conf=0.23)
abs_x=1416.5, abs_y=1632.0, text='8.(2' (conf=0.65)
abs_x=1657.5, abs_y=1670.5, text='4 [e' (conf=0.45)
abs_x=2285.0, abs_y=1665.5, text='3e ' (conf=0.19)
abs_x=573.0, abs_y=1656.5, text='43' (conf=0.53)
abs_x=2066.5, abs_y=1652.0, text='LLL' (conf=0.73)
abs_x=391.5, abs_y=1660.5, text='224' (conf=0.99)
abs_x=773.5, abs_y=1662.5, text='1L33' (conf=0.02)
abs_x=1090.0, abs_y=1664.0, text='80' (conf=0.65)
abs_x=941.5, abs_y=1669.0, text='135}' (conf=0.14)
abs_x=1258.5, abs_y=1666.0, text='2.0' (conf=0.98)
abs_x=1875.5, abs_y=1685.0, text='4.26' (conf=0.48)
abs_x=1415.5, abs_y=1681.5, text='8.28' (conf=0.82)
abs_x=2356.5, abs_y=1692.0, text='52' (conf=1.00)
abs_x=2512.5, abs_y=1703.0, text='128' (conf=0.76)
abs_x=2072.5, abs_y=1706.5, text='LIe_' (conf=0.54)
abs_x=373.5, abs_y=1706.0, text='202' (conf=0.60)
abs_x=186.0, abs_y=1700.5, text='JIe' (conf=0.17)
abs_x=211.5, abs_y=1744.0, text='113' (conf=0.25)
abs_x=1410.5, abs_y=1729.0, text='8.12' (conf=0.99)
abs_x=1651.5, abs_y=1762.5, text='4 /42' (conf=0.15)
abs_x=571.0, abs_y=1743.0, text='H6' (conf=0.29)
abs_x=856.0, abs_y=1752.5, text='I3 : Sgl20'09' (conf=0.07)
abs_x=1079.5, abs_y=1748.0, text='7|' (conf=0.87)
abs_x=382.5, abs_y=1751.0, text='221' (conf=0.58)
abs_x=2289.0, abs_y=1747.0, text='56' (conf=0.37)
abs_x=2065.5, abs_y=1748.0, text='LiI' (conf=0.35)
abs_x=214.0, abs_y=1805.5, text='I' (conf=0.11)
abs_x=1239.5, abs_y=1767.0, text='2.0' (conf=0.59)
abs_x=1878.5, abs_y=1776.5, text='4.26' (conf=0.43)
abs_x=2524.5, abs_y=1790.5, text='143' (conf=1.00)
abs_x=2377.5, abs_y=1786.0, text='50' (conf=0.91)
abs_x=2076.0, abs_y=1786.5, text='1e.12' (conf=0.21)
abs_x=391.5, abs_y=1800.0, text='092' (conf=0.54)
abs_x=1425.0, abs_y=1845.5, text='323' (conf=0.46)
